Key,Translation,Category
# Common,,
common.welcome,ยินดีต้อนรับ,common
common.login,เข้าสู่ระบบ,common
common.register,ลงทะเบียน,common
common.logout,ออกจากระบบ,common
common.profile,โปรไฟล์,common
common.settings,ตั้งค่า,common
common.save,บันทึก,common
common.cancel,ยกเลิก,common
common.delete,ลบ,common
common.edit,แก้ไข,common
common.search,ค้นหา,common
common.back,ย้อนกลับ,common
common.loading,กำลังโหลด...,common
common.error,ข้อผิดพลาด,common
common.success,สำเร็จ,common
common.yes,ใช่,common
common.no,ไม่,common
common.confirm,ยืนยัน,common
common.submit,ส่ง,common
common.closed,ปิด,common
common.view,ดู,common
common.details,รายละเอียด,common
common.status,สถานะ,common
common.actions,การดำเนินการ,common
common.home,หน้าแรก,common
common.about,เกี่ยวกับเรา,common
common.contact,ติดต่อ,common
common.order_now,สั่งอาหารเลย,common
common.follow_us,ติดตามเรา,common
common.popular_categories,หมวดหมู่ยอดนิยม,common
common.recommended_restaurants,ร้านอาหารแนะนำ,common
common.special_restaurant,ร้านอาหารพิเศษ,common
common.special,พิเศษ,common
common.popular_restaurants,ร้านอาหารยอดนิยม,common
common.view_all,ดูทั้งหมด,common
common.why_choose_us,ทำไมต้องเลือกเรา,common
common.open,เปิด,common
common.delivery_time,30-45 นาที,common
common.help,ช่วยเหลือ,common
common.terms_of_service,เงื่อนไขการให้บริการ,common
common.privacy_policy,นโยบายความเป็นส่วนตัว,common
common.quick_links,ลิงก์ด่วน,common
common.categories,หมวดหมู่,common
common.choose_your_favorite_restaurant,เลือกร้านอาหารที่คุณชื่นชอบ,common
common.choose_your_favorite_categories,เลือกหมวดหมู่ที่คุณชื่นชอบ,common
common.view_menu,ดูเมนู,common
common.no_categories_found,ไม่พบหมวดหมู่,common
common.please_try_again_later,กรุณาลองใหม่อีกครั้งในภายหลัง,common
common.menu_in_this_category,เมนูในหมวดหมู่นี้,common
common.out_of_stock,สินค้าหมด,common
common.view_this_restaurant,ดูร้านอาหารนี้,common
common.login_to_order,เข้าสู่ระบบเพื่อสั่งอาหาร,common
common.no_menu_in_this_category,ไม่มีเมนูในหมวดหมู่นี้,common
common.try_choosing_another_category,ลองเลือกหมวดหมู่อื่น,common
common.view_other_categories,ดูหมวดหมู่อื่น,common
common.no_restaurant_found,ไม่พบร้านอาหาร,common
common.try_refreshing_the_page,ลองรีเฟรชหน้านี้,common
common.dollars,บาท,common
common.not_specified,ไม่ระบุ,common
common.delivery,จัดส่ง,common
common.restaurants,ร้านอาหาร,common
common.address_not_specified,ไม่ระบุที่อยู่,common
common.is_closed,ปิดแล้ว,common
common.no_menu,ไม่มีเมนู,common
common.no_reviews,ไม่มีรีวิว,common
common.restaurant_is_closed,ร้านอาหารปิดแล้ว,common
common.all_products,สินค้าทั้งหมด,common
common.choose_food_from_different_restaurants,เลือกอาหารที่คุณชื่นชอบจากร้านอาหารต่างๆ,common
common.search_for_products,ค้นหาสินค้า,common
common.all_categories,หมวดหมู่ทั้งหมด,common
common.all_restaurants,ร้านอาหารทั้งหมด,common
common.clear_filters,ล้างตัวกรอง,common
common.not_available,ไม่พร้อมใช้งาน,common
common.previous,ก่อนหน้า,common
common.next,ถัดไป,common
