Key,Translation,Category
# Common,,
common.welcome,Welcome,common
common.login,Login,common
common.register,Register,common
common.logout,Logout,common
common.profile,Profile,common
common.settings,Settings,common
common.save,Save,common
common.cancel,Cancel,common
common.delete,Delete,common
common.edit,Edit,common
common.search,Search,common
common.back,Back,common
common.loading,Loading...,common
common.error,Error,common
common.success,Success,common
common.yes,Yes,common
common.no,No,common
common.confirm,Confirm,common
common.submit,Submit,common
common.closed,Closed,common
common.view,View,common
common.details,Details,common
common.status,Status,common
common.actions,Actions,common
common.home,Home,common
common.about,About,common
common.contact,Contact,common
common.order_now,Order now,common
common.follow_us,Follow us,common
common.popular_categories,Popular categories,common
common.recommended_restaurants,Recommended restaurants,common
common.special_restaurant,Special restaurant,common
common.special,Special,common
common.popular_restaurants,Popular restaurants,common
common.view_all,View all,common
common.why_choose_us,Why choose us,common
common.open,Open,common
common.delivery_time,30-45 min,common
common.help,Help,common
common.terms_of_service,Terms of service,common
common.privacy_policy,Privacy policy,common
common.quick_links,Quick links,common
common.categories,Categories,common
common.choose_your_favorite_restaurant,Choose your favorite restaurant,common
common.choose_your_favorite_categories,Choose your favorite categories,common
common.view_menu,View menu,common
common.no_categories_found,No categories found,common
common.please_try_again_later,Please try again later,common
common.menu_in_this_category,Menu in this category,common
common.out_of_stock,Out of stock,common
common.view_this_restaurant,View this restaurant,common
common.login_to_order,Login to order,common
common.no_menu_in_this_category,No menu in this category,common
common.try_choosing_another_category,Try choosing another category,common
common.view_other_categories,View other categories,common
common.no_restaurant_found,No restaurant found,common
common.try_refreshing_the_page,Try refreshing the page,common
common.dollars,Dollars,common
common.not_specified,Not specified,common
common.delivery,Delivery,common
common.restaurants,restaurants,common
common.address_not_specified,Address not specified,common
common.is_closed,is closed,common
common.no_menu,No menu,common
common.no_reviews,No reviews,common
common.restaurant_is_closed,Restaurant is closed,common
common.all_products,All products,common
common.choose_food_from_different_restaurants,Choose your favorite food from different restaurants,common
common.search_for_products,Search for products,common
common.all_categories,All categories,common
common.all_restaurants,All restaurants,common
common.clear_filters,Clear filters,common
common.not_available,Not available,common
common.previous,Previous,common
common.next,Next,common
common.no_products_found,No products found,common
common.try_changing_the_search_or_filter,Try changing the search or filter,common
common.unable_to_load_restaurant_list,Unable to load restaurant list,common
common.unable_to_load_categories,Unable to load categories,common
common.explore_food_in_this_category,Explore food in this category,common
common.back_to_categories,Back to categories,common
common.error_adding_to_cart,Error adding product to cart,common
common.added_to_cart,Added "{product}" to cart!,common
common.loading_restaurant_data,Loading restaurant data...,common
common.back_to_restaurant_list,Back to restaurant list,common
common.failed_to_load_data,Failed to load data,common
common.failed_to_load_products,Failed to load products,common
common.no_description,No description,common
common.restaurant,Restaurant,common
common.error_searching,Error searching,common
common.all,All,common
common.try_again,Try again,common
common.refresh,Refresh,common 
,,
# Search,,
search.search_for_restaurant_or_menu,Search for restaurant or menu,search
search.enter_search_term,Enter search...,search
search.search,Search,search
search.search_type,Search type,search
search.menu,Menu,search
search.searching,Searching...,search
search.search_results,Search results "{query}" ({count} results),search
search.restaurants_results,Restaurant ({count} restaurants),search
search.view_menu,View menu →,search
search.menu_results,Menu ({count} results),search
search.no_search_results,No search results,search
search.try_different_search_or_change_type,Try a different search or change the search type,search
search.enter_search_above_to_start,Enter a search above to start,search
,,
# Navigation,,
nav.restaurants,Restaurants,navigation
nav.categories,Categories,navigation
nav.all_products,All Products,navigation
nav.orders,Orders,navigation
nav.favorites,Favorites,navigation
,,
# Authentication,,
auth.email,Email,auth
auth.password,Password,auth
auth.confirm_password,Confirm Password,auth
auth.forgot_password,Forgot Password?,auth
auth.reset_password,Reset Password,auth
auth.change_password,Change Password,auth
auth.login_success,Login successful,auth
auth.register_success,Registration successful,auth
auth.logout_success,Logout successful,auth
auth.verify_email,Verify Email,auth
auth.email_verification,Email Verification,auth
auth.email_verified,Email verified successfully,auth
auth.google_login,Login with Google,auth
auth.verification_sent,Verification email sent,auth
auth.verification_required,Email verification required,auth
auth.username,Username / Email,auth
auth.remember_me,Remember me,auth
auth.or,Or,auth
auth.register_now,Register now,auth
auth.login_now,Login now,auth
auth.verify_email_title,Verify your email,auth
auth.verify_email_message,We have sent a verification code to {email}. Please check your email and enter the verification code below,auth
auth.verification_code,Verification Code,auth
auth.verification_code_placeholder,Enter verification code from email,auth
auth.verification_code_format,Verification code will be like: XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX,auth
auth.verifying,Verifying email...,auth
auth.verify_success,Email verified! You can now login,auth
auth.resend_code,Resend verification code,auth
auth.resend_success,Resent verification email to {email},auth
auth.resend_countdown,You can resend in {seconds} seconds,auth
auth.agree_terms,I agree to the terms and conditions,auth
auth.required_field,Required field,auth
auth.phone,Phone number,auth
auth.address,Address,auth
auth.role,Role,auth
auth.customer,Customer,auth
auth.restaurant,Restaurant,auth
auth.not_logged_in,Not Logged In,auth
auth.please_login,Please login,auth
auth.user_id,User ID,auth
auth.token,Token,auth
auth.confirm_logout,Are you sure you want to log out?,auth
,,
# Validation,,
validation.required,This field is required,validation
validation.email_invalid,Invalid email address,validation
validation.password_mismatch,Passwords do not match,validation
